x,y,z,sx,sy,sz
755501.38,3279272.52,32.73,0.0049,0.0050,0.0121
755504.16,3279279.85,33.03,0.0064,0.0066,0.0142
755498.80,3279276.22,32.69,0.0052,0.0050,0.0126
755500.33,3279275.44,32.74,0.0050,0.0051,0.0131
755499.39,3279270.36,32.61,0.0056,0.0096,0.0176
755502.74,3279272.38,32.89,0.0064,0.0093,0.0225
755505.23,3279273.85,32.83,0.0050,0.0050,0.0117
755510.28,3279276.95,33.12,0.0070,0.0059,0.0149
755510.71,3279277.28,33.17,0.0084,0.0064,0.0166
755509.28,3279276.48,33.08,0.0065,0.0057,0.0143
755500.55,3279271.41,32.68,0.0055,0.0100,0.0192
755501.33,3279271.98,32.76,0.0051,0.0056,0.0131
755503.16,3279273.25,32.85,0.0062,0.0070,0.0174
755502.57,3279273.13,32.75,0.0050,0.0051,0.0124
755502.81,3279273.34,32.76,0.0049,0.0050,0.0124
755500.52,3279272.47,32.63,0.0067,0.0060,0.0153
755507.15,3279276.39,33.07,0.0093,0.0078,0.0226
755505.28,3279275.36,32.88,0.0053,0.0053,0.0131
755501.27,3279273.27,32.74,0.0049,0.0048,0.0117
755508.70,3279277.74,33.07,0.0064,0.0059,0.0144
755503.82,3279275.26,32.89,0.0052,0.0051,0.0129
755509.76,3279278.69,33.12,0.0076,0.0064,0.0160
755503.34,3279275.46,32.82,0.0073,0.0059,0.0230
755509.78,3279279.40,33.10,0.0079,0.0068,0.0165
755501.46,3279274.68,32.81,0.0073,0.0069,0.0207
755503.46,3279276.29,32.92,0.0055,0.0055,0.0157
755509.45,3279279.86,33.16,0.0076,0.0069,0.0164
755499.72,3279275.04,32.70,0.0057,0.0055,0.0150
755499.84,3279276.79,32.73,0.0077,0.0072,0.0232
755500.42,3279277.19,32.76,0.0053,0.0056,0.0151
755497.33,3279275.40,32.56,0.0103,0.0057,0.0214
755498.81,3279277.91,32.75,0.0058,0.0061,0.0158
755500.33,3279279.41,32.78,0.0056,0.0074,0.0167
755497.98,3279270.88,32.64,0.0066,0.0081,0.0174
755498.91,3279279.38,32.78,0.0053,0.0061,0.0134
755500.59,3279271.42,32.68,0.0058,0.0100,0.0221
755497.33,3279272.15,32.61,0.0147,0.0123,0.0330
755498.91,3279274.00,32.62,0.0059,0.0064,0.0159
755504.71,3279277.43,32.92,0.0074,0.0084,0.0182
755503.90,3279278.28,32.83,0.0070,0.0105,0.0201
755501.39,3279277.65,32.79,0.0052,0.0064,0.0145
755501.02,3279279.36,32.80,0.0053,0.0063,0.0132
755499.50,3279280.55,32.78,0.0053,0.0066,0.0134
755499.39,3279280.55,32.78,0.0054,0.0062,0.0129
755499.36,3279280.74,32.79,0.0054,0.0069,0.0136
755503.24,3279271.15,32.72,0.0088,0.0091,0.0241
755508.74,3279273.86,33.06,0.0068,0.0056,0.0151
755501.39,3279269.79,32.68,0.0087,0.0085,0.0185
755503.54,3279271.40,32.72,0.0048,0.0049,0.0114
755507.93,3279274.46,32.98,0.0079,0.0073,0.0207
755501.30,3279269.56,32.68,0.0083,0.0097,0.0199
755502.65,3279270.73,32.70,0.0049,0.0050,0.0118
755504.80,3279272.48,32.73,0.0063,0.0066,0.0175
755507.77,3279274.66,32.99,0.0064,0.0061,0.0159
755502.19,3279271.87,32.87,0.0070,0.0114,0.0273
755502.27,3279270.04,32.69,0.0052,0.0050,0.0118
755502.67,3279270.95,32.70,0.0050,0.0050,0.0118
755504.06,3279271.17,32.69,0.0069,0.0067,0.0118
755507.08,3279275.00,32.90,0.0075,0.0057,0.0206
755503.90,3279271.65,32.72,0.0048,0.0050,0.0116
755508.26,3279274.12,33.01,0.0066,0.0058,0.0154
755503.38,3279270.68,32.71,0.0048,0.0049,0.0113
755500.61,3279269.13,32.67,0.0089,0.0126,0.0225
755504.22,3279271.72,32.74,0.0054,0.0054,0.0140
755503.15,3279279.13,32.99,0.0086,0.0101,0.0231
755504.58,3279272.22,32.73,0.0048,0.0049,0.0115
755508.04,3279273.82,32.95,0.0081,0.0071,0.0204
755500.15,3279273.11,32.67,0.0061,0.0058,0.0146
755508.82,3279274.26,33.11,0.0088,0.0061,0.0189
755503.33,3279270.61,32.71,0.0049,0.0050,0.0115
755512.01,3279275.69,33.10,0.0120,0.0061,0.0191
755511.21,3279275.28,33.11,0.0085,0.0062,0.0170
755507.27,3279273.08,33.05,0.0088,0.0073,0.0225
755510.24,3279274.95,33.04,0.0090,0.0057,0.0171
755503.06,3279271.35,32.71,0.0054,0.0054,0.0129
755511.80,3279276.57,33.15,0.0120,0.0065,0.0194
755509.53,3279275.46,33.08,0.0075,0.0056,0.0156
755501.97,3279271.44,32.88,0.0078,0.0148,0.0325
755510.76,3279276.51,33.08,0.0074,0.0060,0.0153
755501.30,3279271.97,32.75,0.0063,0.0057,0.0149
755508.55,3279276.75,33.04,0.0062,0.0058,0.0142
755510.94,3279278.46,33.21,0.0077,0.0068,0.0163
755509.56,3279278.22,33.12,0.0075,0.0070,0.0165
755505.70,3279273.03,32.76,0.0050,0.0050,0.0118
755506.58,3279273.69,32.76,0.0058,0.0055,0.0139
755501.01,3279270.61,32.87,0.0082,0.0214,0.0420
755501.17,3279271.00,32.79,0.0056,0.0119,0.0288
755502.68,3279280.16,33.05,0.0107,0.0140,0.0303
755510.20,3279273.00,33.08,0.0202,0.0087,0.0409
755502.04,3279268.49,32.68,0.0068,0.0070,0.0153
755509.22,3279272.93,32.98,0.0091,0.0083,0.0239
755510.09,3279273.82,33.06,0.0099,0.0060,0.0207
755502.77,3279269.01,32.69,0.0064,0.0061,0.0142
755501.89,3279268.44,32.68,0.0088,0.0109,0.0215
755504.47,3279269.86,32.72,0.0048,0.0051,0.0117
755512.95,3279274.84,33.10,0.0464,0.0088,0.0577
755504.73,3279269.92,32.72,0.0048,0.0050,0.0115
755500.29,3279272.58,32.64,0.0063,0.0063,0.0146
755503.73,3279269.39,32.70,0.0053,0.0054,0.0126
755502.58,3279277.05,32.92,0.0071,0.0076,0.0224
755502.79,3279274.91,32.83,0.0059,0.0051,0.0181
755498.48,3279273.25,32.64,0.0064,0.0130,0.0255
755504.14,3279269.43,32.71,0.0054,0.0056,0.0130
755509.57,3279272.88,33.02,0.0072,0.0057,0.0161
755504.74,3279269.84,32.72,0.0056,0.0059,0.0143
755510.63,3279272.98,33.10,0.0096,0.0059,0.0187
755508.58,3279271.77,32.97,0.0110,0.0090,0.0262
755506.45,3279270.51,32.79,0.0061,0.0098,0.0234
755508.28,3279271.72,33.01,0.0080,0.0071,0.0215
755503.55,3279268.96,32.70,0.0051,0.0051,0.0121
755511.32,3279273.78,33.12,0.0080,0.0057,0.0157
755512.23,3279274.84,33.14,0.0114,0.0064,0.0194
755512.46,3279275.32,33.19,0.0117,0.0066,0.0194
755512.41,3279275.32,33.10,0.0092,0.0079,0.0179
755506.53,3279272.01,32.92,0.0084,0.0105,0.0334
755508.32,3279273.49,32.95,0.0058,0.0056,0.0147
755507.87,3279273.60,32.92,0.0076,0.0065,0.0201
755512.40,3279276.48,33.28,0.0123,0.0087,0.0216
755509.83,3279275.16,33.05,0.0071,0.0057,0.0154
755511.70,3279277.04,33.23,0.0119,0.0097,0.0224
755500.91,3279271.90,32.75,0.0090,0.0050,0.0179
755502.55,3279273.53,32.77,0.0056,0.0049,0.0138
755504.72,3279269.85,32.66,0.0077,0.0071,0.0135
755502.13,3279272.89,32.68,0.0126,0.0089,0.0238
755500.07,3279273.22,32.67,0.0074,0.0092,0.0214
755511.59,3279271.26,33.11,0.0242,0.0098,0.0441
755504.99,3279268.81,32.74,0.0051,0.0054,0.0128
