DJI_0001.JPG
FC6310_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
-0.0213049, -0.0636667, 0.161094, 0.0451242, 0.00731065, -0.0150982, 0.0138227, -0.0406308, 0.26714, 1, -0.0548948, -0.735309, 0.635733, -0.359538
0.976913, -0.714927, -0.295138, 0.212676, -0.318546, 0.46479, -0.0229385, 0.0255582, -0.292911, -0.0548948, 1, -0.0965042, -0.29095, -0.0263352
-0.139793, 0.103065, 0.0454755, -0.0696447, 0.0542614, -0.0725154, 0.0554257, 0.00517831, 0.157398, -0.735309, -0.0965042, 1, -0.252132, 0.325201
-0.250354, 0.178908, 0.0562759, 0.0141392, 0.0903439, -0.136901, -0.0127352, 0.000216094, 0.785489, 0.635733, -0.29095, -0.252132, 1, -0.0453997
-0.0265205, 0.0483262, 0.00167702, -0.0106561, 0.00328999, -0.0082848, -0.00529211, 0.0216395, 0.263219, -0.359538, -0.0263352, 0.325201, -0.0453997, 1
DJI_0011.JPG
FC6310_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, -0.73051, -0.304209, 0.205054, -0.323996, 0.472636, -0.0234324, 0.035903, -0.270443, -0.0256559, 0.978033, -0.134683, -0.249542, -0.0251152
